Name,Author,Publisher,Demographic,Num of Volumes,Release Date,Status,Sales of Vol
Crest of the Royal Family,Chieko Hosokawa,Akita Shoten,Shoujo,66,1976,Publishing,40.0
Kyō Kara Ore Wa!!,Hiroyuki Nishimori,Shogakukan,Shounen,38,1988,Finished,40.0
Nodame Cantabile,Tomoko Ninomiya,Kodansha,Josei,23,2001,Finished,38.7
Yu-Gi-Oh!,Kazuki Takahashi,Shueisha,Shounen,38,1996,Finished,40.0
Shaman King,Hiroyuki Takei,Shueisha/Kodansha,Shounen,35,1998,Finished,38.0
The Seven Deadly Sins,Nakaba Suzuki,Kodansha,Shounen,41,2012,Finished,37.0
20th Century Boys,Naoki Urasawa,Shogakukan,Seinen,22,1999,Finished,36.0
Cooking Papa,Tochi Ueyama,Kodansha,Seinen,158,1985,Publishing,36.0
The Chef,"Mai Tsurugina, Tadashi Katou",Nihon Bungeisha,Seinen,62,1986,On Hiatus,35.0
Dr. Slump,Akira Toriyama,Shueisha,Shounen,18,1980,Finished,35.0
Itazura na Kiss,Kaoru Tada,Shueisha,Shoujo,23,1990,Finished,35.0
Urusei Yatsura,Rumiko Takahashi,Shogakukan,Shounen,34,1978,Finished,35.0
Worst,Hiroshi Takahashi,Akita Shoten,Shounen,33,2002,Finished,35.0
Salary Man Kintaro,Hiroshi Motomiya,Shueisha,Seinen,30,1994,Finished,34.0
3×3 Eyes,Yuzo Takada,Kodansha,Seinen,40,1987,Finished,33.33
Kimi ni Todoke,Karuho Shiina,Shueisha,Shoujo,30,2005,Finished,33.0
Chibi Maruko-chan,Momoko Sakura,Shueisha,Shoujo,17,1986,Finished,32.5
The Promised Neverland,"Kaiu Shirai, Posuka Demizu",Shueisha,Shounen,20,2016,Finished,32.0
A Certain Magical Index,Kazuma Kamachi,Square Enix,Shounen,105,2007,Publishing,31.0
Kuroko's Basketball,Tadatoshi Fujimaki,Shueisha,Shounen,30,2008,Finished,31.0
Bastard‼,Kazushi Hagiwara,Shueisha,Shounen/Seinen,27,1988,On Hiatus,30.0
Black Butler,Yana Toboso,Square Enix,Shounen,30,2006,Publishing,30.0
Chameleon,Atsushi Kase,Kodansha,Shounen,47,1990,Finished,30.0
Death Note,"Tsugumi Ohba, Takeshi Obata",Shueisha,Shounen,12,2003,Finished,30.0
Fruits Basket,Natsuki Takaya,Hakusensha,Shoujo,23,1998,Finished,30.0
Gaki Deka,Tatsuhiko Yamagami,Akita Shoten,Shounen,26,1974,Finished,30.0
Jarinko Chie,Etsumi Haruki,Futabasha,Seinen,67,1978,Finished,30.0
Jingi [ja],Tachihara Ayumi,Akita Shoten,Seinen,81,1988,Finished,30.0
Kaze Densetsu: Bukkomi no Taku [ja],"Hiroto Saki, Shinya Kuwahara",Kodansha,Shounen,27,1991,Finished,30.0
One-Punch Man,"One, Yusuke Murata",Shueisha,Seinen,23,2012,Publishing,30.0
Reborn!,Akira Amano,Shueisha,Shounen,42,2004,Finished,30.0
Shura no Mon,Masatoshi Kawahara,Kodansha,Shounen,31,1987,Finished,30.0
That Time I Got Reincarnated as a Slime,"Fuse, Taiki Kawakami",Kodansha,Shounen,19,2015,Publishing,30.0
Tokimeki Tonight,Koi Ikeno,Shueisha,Shoujo,30,1982,Finished,30.0
Ushio and Tora,Kazuhiro Fujita,Shogakukan,Shounen,33,1990,Finished,30.0
Yawara!,Naoki Urasawa,Shogakukan,Seinen,29,1986,Finished,30.0
Futari Ecchi,Katsu Aki,Hakusensha,Seinen,84,1997,Publishing,29.5
Shonan Bakusozoku,Satoshi Yoshida,Shōnen Gahōsha,Seinen,16,1982,Finished,29.0
Asari-chan,Mayumi Muroyama,Shogakukan,Shoujo,100,1978,Finished,28.0
Pokémon Adventures,"Hidenori Kusaka, Mato, Satoshi Yamamoto",Shogakukan,Children,59,1997,Publishing,28.0
Space Brothers,Chūya Koyama,Kodansha,Seinen,40,2007,Publishing,28.0
Chihayafuru,Yuki Suetsugu,Kodansha,Josei,47,2007,Publishing,27.0
Sakigake!! Otokojuku,Akira Miyashita,Shueisha,Shounen,34,1985,Finished,27.0
Bari Bari Densetsu,Shuichi Shigeno,Kodansha,Shounen,38,1983,Finished,26.0
Tsuribaka Nisshi,"Jūzō Yamasaki, Kenichi Kitami",Shogakukan,Seinen,106,1979,Publishing,26.0
Angel Heart,Tsukasa Hojo,Shinchosha (first series)Tokuma Shoten (second series),Seinen,54,2001,Finished,25.0
Ashita no Joe,"Ikki Kajiwara, Tetsuya Chiba",Kodansha,Shounen,20,1968,Finished,25.0
Assassination Classroom,Yūsei Matsui,Shueisha,Shounen,21,2012,Finished,25.0
Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,Shounen,32,1991,Finished,25.0
D.Gray-man,Katsura Hoshino,Shueisha,Shounen,27,2004,Publishing,25.0
Emblem Take 2 [ja],"Kazumasa Kiuchi, Jun Watanabe",Kodansha,Seinen,62,1990,Finished,25.0
Flame of Recca,Nobuyuki Anzai,Shogakukan,Shounen,33,1995,Finished,25.0
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,Shounen,23,1998,Finished,25.0
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shogakukan,Shounen,37,2009,Finished,25.0
Maison Ikkoku,Rumiko Takahashi,Shogakukan,Seinen,15,1980,Finished,25.0
Miyuki,Mitsuru Adachi,Shogakukan,Shounen,12,1980,Finished,25.0
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,Shounen,14,1994,Finished,25.0
Oh My Goddess!,Kōsuke Fujishima,Kodansha,Seinen,48,1988,Finished,25.0
Patalliro!,Mineo Maya,Hakusensha,Shoujo,101,1979,Publishing,25.0
Saiyuki,Kazuya Minekura,Square Enix (first series) Ichijinsha (second and third series),Shounen/Jousei,23,1997,Publishing,25.0
Seito Shokun!,Yoko Shoji,Kodansha,Shoujo,79,1977,Finished,25.0
The Ping Pong Club,Minoru Furuya,Kodansha,Seinen,13,1993,Finished,25.0
The Silent Service,Kaiji Kawaguchi,Kodansha,Seinen,32,1988,Finished,25.0
Toriko,Mitsutoshi Shimabukuro,Shueisha,Shounen,43,2008,Finished,25.0
Yowamushi Pedal,Wataru Watanabe,Akita Shoten,Shounen,71,2008,Publishing,25.0
Yūkan Club,Yukari Ichijo,Shueisha,Shoujo,19,1982,Finished,25.0
Ahiru no Sora,Hinata Takeshi,Kodansha,Shounen,51,2004,Publishing,24.0
Gantz,Hiroya Oku,Shueisha,Seinen,37,2000,Finished,24.0
Jigoku Sensei Nūbē,"Shō Makura, Takeshi Okano",Shueisha,Shounen,70,1993,Publishing,24.0
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988,Finished,24.0
Zatch Bell!,Makoto Raiku,Shogakukan,Shounen,33,2001,Finished,23.8
Rave Master,Hiro Mashima,Kodansha,Shounen,35,1999,Finished,23.5
Himitsu Series [ja],"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",Gakken,Children,116,1972,Finished,23.0
Abu-san,Shinji Mizushima,Shogakukan,Seinen,107,1973,Finished,22.0
Hoshin Engi,Ryu Fujisaki,Shueisha,Shounen,23,1996,Finished,22.0
Terra Formars,"Yū Sasuga, Kenichi Tachibana",Shueisha,Seinen,22,2011,On Hiatus,22.0
Dōbutsu no Oisha-san,Noriko Sasaki,Hakusensha,Shoujo,12,1987,Finished,21.6
Kaiji,Nobuyuki Fukumoto,Kodansha,Seinen,79,1996,Publishing,21.5
Rookies,Masanori Morita,Shueisha,Shounen,24,1998,Finished,21.0
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,Shounen,28,2003,Finished,21.0
Ushijima the Loan Shark,Shohei Manabe,Shogakukan,Seinen,46,2004,Finished,21.0
Dragon Quest Retsuden: Roto no Monshō,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",Enix,Shounen,21,1991,Finished,20.9
Shōnen Shōjo Nippon no Rekishi [ja],"Kōta Kodama, Arakawa Shoji",Shogakukan,Children,24,1981,Finished,20.2
750 Rider,Isami Ishii,Akita Shoten,Shounen,50,1975,Finished,20.0
Buddha,Osamu Tezuka,Ushio Shuppan,Seinen,14,1972,Finished,20.0
Cat's Eye,Tsukasa Hojo,Shueisha,Shounen,18,1981,Finished,20.0
Cuffs - Kizu Darake no Chizu,Jin Tojo,Shueisha,Seinen,32,1997,Finished,20.0
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Shounen,37,2002,Finished,20.0
Fire Force,Atsushi Ohkubo,Kodansha,Shounen,34,2015,Finished,20.0
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,Shounen,36,2012,Finished,20.0
Fushigi Yûgi,Yuu Watase,Shogakukan,Shoujo,18,1991,Finished,20.0
Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",Kadokawa Shoten,Shounen,57,2004,Finished,20.0
Hayate the Combat Butler,Kenjiro Hata,Shogakukan,Shounen,52,2004,Finished,20.0
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Shounen,18,1984,Finished,20.0
Tasogare Ryuuseigun [ja],Kenshi Hirokane,Shogakukan,Seinen,64,1995,Publishing,20.0
Love Hina,Ken Akamatsu,Kodansha,Shounen,14,1998,Finished,20.0
Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",Shogakukan,Seinen,18,1988,Finished,20.0
Monster,Naoki Urasawa,Shogakukan,Seinen,18,1994,Finished,20.0
Negima! Magister Negi Magi,Ken Akamatsu,Kodansha,Shounen,38,2003,Finished,20.0
Red River,Chie Shinohara,Shogakukan,Shoujo,28,1995,Finished,20.0
The Rose of Versailles,Riyoko Ikeda,Shueisha,Shoujo,10,1972,Finished,20.0
Shōnen Ashibe,Hiromi Morishita,Shueisha,Seinen,8,1988,Finished,20.0
Peacock King,Makoto Ogino,Shueisha/Shogakukan/Leed,Seinen,55,1985,Finished,20.0
Sukeban Deka,Shinji Wada,Hakusensha,Shoujo,22,1976,Finished,20.0
Swan,Kyoko Ariyoshi,Shueisha,Shoujo,21,1976,Finished,20.0
The Tale of Genji,Waki Yamato,Kodansha,Shoujo,13,1980,Finished,20.0
Tokyo Daigaku Monogatari,Tatsuya Egawa,Shogakukan,Seinen,34,1992,Finished,20.0
Weed,Yoshihiro Takahashi,Nihon Bungeisha,Seinen,60,1999,Finished,20.0
