Name,Release_date,Status,Demographic,Genres,Theme,Score,Ranking,Popularity
Hachimitsu to Clover,2000,Finished,Josei,"Award Winning,Comedy,Drama,Romance,Slice of Life","Love Polygon,Visual Arts",8.3,279,698
Takemitsuzamurai,2006,Finished,Seinen,"Award Winning,Slice of Life","Historical,Martial Arts,Samurai",8.3,280,1415
Naruto Shinden Series,2015,Finished,Shounen,"Action,Adventure,Fantasy",Martial Arts,8.3,281,1707
Beastars,2016,Finished,Shounen,"Award Winning,Drama,Slice of Life","Anthropomorphic,Psychological",8.3,282,112
Mairimashita! Iruma-kun,2017,Publishing,Shounen,"Comedy,Fantasy,Supernatural","Isekai,Mythology",8.3,283,343
Taishou Otome Otogibanashi,2015,Finished,Shounen,"Comedy,Romance,Slice of Life",Historical,8.29,284,715
Kimetsu no Yaiba,2016,Finished,Shounen,"Action,Fantasy",Historical,8.29,285,11
Ao Ashi,2015,Publishing,Seinen,"Award Winning,Sports",Team Sports,8.29,286,1753
D.Gray-man,2004,Publishing,Shounen,"Action,Adventure","Mythology,Super Power",8.29,287,56
Petshop of Horrors,1995,Finished,Josei,"Comedy,Fantasy,Horror,Mystery,Supernatural",No Th Tag,8.29,288,521
Detective Conan,1994,Publishing,Shounen,"Adventure,Award Winning,Comedy,Mystery",Detective,8.29,289,244
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,2008,Finished,No Demo Tag,"Drama,Horror,Mystery",Psychological,8.29,290,1631
Private Opinion: Banana Fish Another Story,1995,Finished,Shoujo,"Action,Drama",No Th Tag,8.29,291,4608
Yomawari Sensei,2004,Finished,Seinen,Drama,"Psychological,School",8.29,292,1785
No.6,2011,Finished,Shoujo,"Action,Drama,Mystery,Sci-Fi",No Th Tag,8.29,293,313
Ojisama to Neko,2017,Publishing,No Demo Tag,Slice of Life,Pets,8.29,294,1168
Kage no Jitsuryokusha ni Naritakute!,2018,Publishing,No Demo Tag,"Action,Comedy,Fantasy","Isekai,Reincarnation",8.29,295,2066
Sweet Home,2017,Finished,No Demo Tag,"Action,Drama,Horror,Suspense",Gore,8.29,296,238
Paradise Kiss,1999,Finished,Josei,"Drama,Romance","School,Visual Arts",8.28,297,332
Eden: It's an Endless World!,1997,Finished,Seinen,"Action,Drama,Sci-Fi",Psychological,8.28,298,268
Black Lagoon,2002,Publishing,Seinen,"Action,Drama","Adult Cast,Military,Organized Crime",8.28,299,303
Saiyuuki Gaiden,1999,Finished,No Demo Tag,"Action,Adventure,Fantasy",No Th Tag,8.28,300,1582
