Name,Release_date,Status,Demographic,Genres,Theme,Score,Ranking,Popularity
Cross Game,2005,Finished,Shounen,"Award Winning,Comedy,Drama,Romance,Sports","School,Team Sports",8.47,141,804
Holyland,2000,Finished,Seinen,Action,"Delinquents,Martial Arts,Psychological",8.47,142,182
Monogatari Series: Off Season,2015,Finished,No Demo Tag,"Comedy,Drama,Mystery,Supernatural",Vampire,8.47,143,3399
Gekkan Shoujo Nozaki-kun,2011,Publishing,No Demo Tag,"Comedy,Romance","Otaku Culture,School",8.47,144,159
Glass no Kamen,1976,On Hiatus,Shoujo,"Drama,Romance","Performing Arts,Showbiz",8.46,145,1633
Ookami to Koushinryou,2007,Finished,Seinen,"Adventure,Drama,Fantasy,Romance,Supernatural","Adult Cast,Historical",8.46,146,386
Ping Pong,1996,Finished,Seinen,"Drama,Sports",No Th Tag,8.46,147,973
Doraemon,1969,Finished,"Kids,Shounen","Adventure,Award Winning,Comedy,Sci-Fi,Slice of Life","Anthropomorphic,School",8.45,148,1298
Rainbow: Nisha Rokubou no Shichinin,2002,Finished,Seinen,"Award Winning,Drama","Delinquents,Historical,Psychological",8.45,149,556
JoJo no Kimyou na Bouken Part 8: JoJolion,2011,Finished,Seinen,"Action,Adventure,Award Winning,Mystery,Supernatural",No Th Tag,8.45,150,75
Horimiya,2011,Finished,Shounen,Romance,School,8.45,151,14
Berserk: Shinen no Kami 2,1996,Finished,Seinen,No Genre Tag,No Th Tag,8.45,152,1113
Umineko no Naku Koro ni,2009,Finished,No Demo Tag,"Fantasy,Horror,Mystery,Supernatural,Suspense",Psychological,8.45,153,3077
Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,2015,Finished,Shoujo,"Adventure,Romance",Historical,8.45,154,1315
The Breaker,2007,Finished,No Demo Tag,"Action,Comedy,Drama","Martial Arts,School",8.44,155,66
Barakamon,2008,Finished,Shounen,"Comedy,Slice of Life","Childcare,Iyashikei,Visual Arts",8.44,156,397
Blue Lock,2018,Publishing,Shounen,"Award Winning,Sports",Team Sports,8.44,157,136
Tower of God,2010,Publishing,No Demo Tag,"Action,Adventure,Drama,Fantasy,Mystery",No Th Tag,8.44,158,47
The Legend of the Northern Blade,2020,Publishing,No Demo Tag,"Action,Adventure,Fantasy",Martial Arts,8.44,159,1169
Yuukoku no Moriarty,2016,Publishing,Shounen,Mystery,Psychological,8.44,160,589
"Kumo desu ga, Nani ka?",2015,Publishing,No Demo Tag,"Action,Adventure,Comedy,Fantasy","Isekai,Reincarnation",8.43,161,696
Kusuriya no Hitorigoto,2017,Publishing,Seinen,Drama,"Historical,Medical",8.43,162,491
Blade of the Immortal,1993,Finished,Seinen,"Action,Adventure,Drama,Supernatural","Historical,Martial Arts,Samurai",8.43,163,180
Kuroshitsuji,2006,Publishing,Shounen,"Action,Fantasy,Mystery,Supernatural","Historical,Mythology",8.43,164,53
Onanie Master Kurosawa,2007,Finished,No Demo Tag,Drama,"Psychological,School",8.43,165,72
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,2019,Publishing,No Demo Tag,"Comedy,Romance",No Th Tag,8.43,166,2141
Look Back,2021,Finished,Shounen,"Drama,Slice of Life",No Th Tag,8.43,167,289
Youjo Senki,2013,Publishing,No Demo Tag,No Genre Tag,"Isekai,Military,Reincarnation",8.42,168,757
Nodame Cantabile,2001,Finished,Josei,"Award Winning,Comedy,Romance,Slice of Life","Adult Cast,Music",8.42,169,578
21st Century Boys,2006,Finished,Seinen,"Award Winning,Drama,Mystery,Sci-Fi",Psychological,8.42,170,183
Gunnm,1990,Finished,Seinen,"Action,Sci-Fi",No Th Tag,8.42,171,165
Billy Bat,2008,Finished,Seinen,"Drama,Mystery,Supernatural","Detective,Historical,Psychological",8.42,172,306
Noragami,2010,Publishing,Shounen,"Action,Fantasy",Mythology,8.42,173,43
Imawa no Kuni no Alice,2010,Finished,Shounen,"Action,Horror,Supernatural","Gore,High Stakes Game,Psychological,Survival",8.42,174,232
Koe no Katachi,2011,Finished,Shounen,Drama,School,8.42,175,219
No.6,2003,Finished,No Demo Tag,"Action,Mystery,Sci-Fi",No Th Tag,8.41,176,751
Song of the Long March,2011,Publishing,No Demo Tag,"Action,Adventure,Drama",Historical,8.41,177,535
Bakuman.,2008,Finished,Shounen,"Comedy,Drama,Romance",Otaku Culture,8.41,178,45
Hoshi no Samidare,2005,Finished,Seinen,"Action,Comedy,Drama,Supernatural",Psychological,8.41,179,259
Innocent Rouge,2015,Finished,Seinen,Drama,Historical,8.41,180,780
Kimi no Na wa.,2016,Finished,Seinen,"Drama,Supernatural",Romantic Subtext,8.4,181,156
Fumetsu no Anata e,2016,Publishing,Shounen,"Adventure,Award Winning,Drama,Supernatural",No Th Tag,8.4,182,133
Tokyo卍Revengers,2017,Publishing,Shounen,"Action,Award Winning","Delinquents,Time Travel",8.4,183,35
Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,2010,Finished,Shounen,"Drama,Horror,Mystery,Supernatural",No Th Tag,8.4,184,1594
The Breaker: New Waves,2010,Finished,No Demo Tag,"Action,Comedy,Drama,Romance","Martial Arts,School",8.4,185,132
"Mata, Onaji Yume wo Miteita",2017,Finished,No Demo Tag,Drama,No Th Tag,8.4,186,1238
Dragon Ball,1984,Finished,Shounen,"Action,Adventure,Comedy,Sci-Fi","Martial Arts,Super Power",8.4,187,61
Basara,1990,Finished,Shoujo,"Adventure,Award Winning,Drama,Fantasy,Romance",No Th Tag,8.4,188,764
Kaichou wa Maid-sama!,2005,Finished,Shoujo,"Comedy,Romance",School,8.4,189,49
Tobaku Mokushiroku Kaiji,1996,Finished,Seinen,"Award Winning,Drama","Adult Cast,High Stakes Game,Strategy Game",8.4,190,984
Juuni Kokuki,1992,Publishing,No Demo Tag,Fantasy,Isekai,8.4,191,2013
My Girl,2006,Finished,Seinen,"Drama,Slice of Life",Childcare,8.4,192,540
Tensei shitara Slime Datta Ken,2015,Publishing,Shounen,"Award Winning,Fantasy","Isekai,Reincarnation",8.4,193,87
Boku dake ga Inai Machi,2012,Finished,Seinen,"Mystery,Supernatural","Psychological,Time Travel",8.39,194,147
Kiseijuu,1989,Finished,Seinen,"Action,Award Winning,Horror,Sci-Fi","Gore,Psychological",8.39,195,116
Hadashi no Gen,1973,Finished,Shounen,Drama,Historical,8.39,196,1652
Tobaku Hakairoku Kaiji,2000,Finished,No Demo Tag,Drama,"Adult Cast,High Stakes Game,Strategy Game",8.39,197,1784
Toaru Majutsu no Index,2004,Finished,No Demo Tag,"Action,Comedy,Fantasy,Sci-Fi,Supernatural",Super Power,8.39,198,524
Yubisaki to Renren,2019,Publishing,Shoujo,Romance,No Th Tag,8.39,199,861
Ballroom e Youkoso,2011,Publishing,Shounen,"Comedy,Drama,Romance,Sports","Performing Arts,School",8.38,200,407
xxxHOLiC,2003,Finished,Seinen,"Comedy,Drama,Mystery,Supernatural",No Th Tag,8.38,201,154
Cardcaptor Sakura,1996,Finished,Shoujo,"Adventure,Award Winning,Comedy,Fantasy,Romance",Mahou Shoujo,8.38,202,222
SKET Dance,2007,Finished,Shounen,"Award Winning,Comedy,Drama",School,8.38,203,474
SQ: Begin W/Your Name!,2015,Finished,No Demo Tag,"Comedy,Girls Love,Slice of Life",School,8.38,204,242
Yuru Camp△,2015,Publishing,No Demo Tag,Slice of Life,"CGDCT,Iyashikei",8.37,205,1083
Omniscient Reader,2020,Publishing,No Demo Tag,"Action,Adventure,Fantasy",No Th Tag,8.37,206,235
Mo Dao Zu Shi,2017,Publishing,No Demo Tag,"Action,Adventure,Boys Love,Mystery,Supernatural",Historical,8.37,207,2764
Machida-kun no Sekai,2013,Finished,Shoujo,Award Winning,School,8.37,208,640
Mahoutsukai no Yome,2013,Publishing,Shounen,Fantasy,No Th Tag,8.36,209,142
Shadows House,2018,Publishing,Seinen,"Slice of Life,Supernatural",No Th Tag,8.36,210,618
Boy Meets Maria,2017,Finished,No Demo Tag,"Boys Love,Drama",School,8.36,211,1458
Bungou Stray Dogs,2014,Publishing,No Demo Tag,"Mystery,Supernatural",No Th Tag,8.36,212,1979
The Boxer,2019,Publishing,No Demo Tag,"Action,Drama,Sports",Combat Sports,8.36,213,1411
Shin Angyo Onshi,2001,Finished,Seinen,"Action,Adventure,Drama,Fantasy,Supernatural",Historical,8.36,214,446
Kanata kara,1991,Finished,Shoujo,"Adventure,Award Winning,Fantasy,Romance","Isekai,Mythology",8.36,215,1102
Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,2009,Finished,Shounen,"Drama,Horror,Mystery",Psychological,8.36,216,1337
Durarara!!,2004,Finished,No Demo Tag,"Action,Drama,Romance,Supernatural",No Th Tag,8.36,217,570
Lovely★Complex,2001,Finished,Shoujo,"Award Winning,Comedy,Drama,Romance",School,8.35,218,224
Versailles no Bara,1972,Finished,Shoujo,"Drama,Romance","Historical,Military",8.35,219,1152
Nichijou,2006,Publishing,Shounen,Comedy,"Gag Humor,School",8.35,220,467
Daichouhen Doraemon,1980,Finished,Kids,"Adventure,Comedy,Fantasy,Sci-Fi,Slice of Life",No Th Tag,8.35,221,5120
Wotaku ni Koi wa Muzukashii,2015,Finished,No Demo Tag,"Comedy,Romance","Adult Cast,Otaku Culture,Workplace",8.35,222,86
Koko wa Ima kara Rinri desu.,2016,Publishing,Seinen,Drama,School,8.35,223,816
Umineko no Naku Koro ni Chiru,2012,Finished,No Demo Tag,"Fantasy,Horror,Mystery,Supernatural,Suspense",Psychological,8.35,224,5107
